Start Date,Duration (in seconds),"What is your key word? 

A reminder that the keys are case-sensitive.",Which session is this?,Were you allowed to use Ender for this session?,How familiar were you with the content of the paper prior to the reading?,Have you previously read this excerpt prior to today?,I had completed the reading in the allotted time.,How easy or difficult did you find this excerpt?,What percentage of the paper do you think you understand? - %,What is the main argument of the paper?,"How does Akerlof support this argument?


Please be as specific as possible in your answer.","In the excerpt, Akerlof focuses on two groups of traders. Briefly describe their difference and why this matters to the argument of the paper.","Akerlof won the Nobel Prize in 2001 for the paper from which this excerpt was taken. What do you think this paper contributed (to the field of Economics, or otherwise) to merit this award?","In the section following the excerpt, Akerlof writes, ""It is a well-known fact that people over 65 have great difficulty
in buying medical insurance. The natural question arises: why
doesn't the price rise to match the risk?"" Based off of the excerpt you read, what do you think was his answer to this question?","These are a set of equations you encountered in the excerpt. Please interpret, to the best of your ability, what they mean and their importance & relationship to the larger position of the excerpt.",What does p refer to in these equations?,What do the Ys refer to in these equations?,"This is another equation you encountered in the excerpt. Please interpret, to the best of your ability, what it means and its importance & relationship to the larger position of the excerpt.",What does M refer to in the equation?,What does x refer to in the equation?,What is the summation over in the equation?,Which session is this?,Were you allowed to use Ender for this session?,How familiar were you with the content of the paper prior to the reading?,Have you previously read this excerpt prior to today?,I had completed the reading in the allotted time.,How easy or difficult did you find this excerpt?,What percentage of the paper do you think you understand? - %,What is the main argument of the paper?,"How does Akerlof support this argument?


Please be as specific as possible in your answer.","In the excerpt, Akerlof focuses on three groups of people. Briefly describe how they are formed, their difference, and why this matters to the argument of the paper.","In the latter half of the excerpt, Akerlof focuses on the idea of caste-class equilibrium. What is the greater purpose of this section, and how can the principles he laid out be applied to another situation outside of the Caste system?","Akerlof writes in the introduction to this section the following:
""In Japan as merchants have become more economically successful, so too have the taboos against trade and manufacture been reduced [...] The best example of economic success reducing taboos is most probably, the elimination of the sanctions against collection of interest. The usurer of the Middle Ages has turned into the banker of today.""
Why did Akerlof include these examples in the introduction, and how is it related to the excerpt?","This an equation you encountered in the excerpt. Please interpret, to the best of your ability, what it means (with as much specificity of variables as possible) and its importance & relationship to the larger position of the excerpt.",What does k* refer to in the inequality?,What does the right side of the inequality represent? How (generally) did Akerlof reach this expression?,"What steps did Akerlof undergo to show the claim? (In other words, how did he build up to this claim?) Please be as specific as possible in your answer.","What is your key word? 

A reminder that the keys are case-sensitive.",Gender - Selected Choice,Gender - Other - Text,Graduation Year,Concentration,Secondary (if applicable),"On average, how many minutes a week do you spend reading text similar to the ones you've encountered","On average, how many pages a week do you read of text similar to the ones you've encountered during this study? 

Similar in this case refers to text with variables and equations that are central to the main positions of the paper.",Any additional comments/concerns
2020-03-05 13:14:59,2103,ECHO2,Session One,Yes,Not familiar at all,No,Disagree,Slightly difficult,30,Didn't understand well enough; comparing and contrasting supply and demand curves in the symmetric information and asymmetric information settings to show (major logical disconnect here) that lower quality goods can outcompete higher quality goods in certain settings.,Akerlof constructs a contrived utility maximization problem to illustrate how two parties having differing probability distributions over the quality of cars creates different demand from when the two parties share the same distribution.,One set of traders has $N$ cars while the other has no cars. The traders without cars ascribe higher utility to owning a car. The differences in utility leads to difference in demand and overall demand in the market. Not sure how this matters in the setting of asymmetric vs symmetric information.,Not familiar enough with Economics to tell. Presumably solved some major prisoner's dilemma type paradox where firms try to hoard information to gain an advantage but as a result the demand in the market becomes inflated leading to bubbles in the economy that threaten recession.,"The elderly lack some understanding of the economics of buying insurance, and as a result raising the price but making insurance more available decreases profit for insurance companies.","p was the price of used cars. This set of equations models the demand for used cars relative to the price, and shows that for a certain range of prices trader 1 who has cars doesn't want to buy more, but trader 2 who values cars more will buy anything that hits the market.",price of cars,demand of the respective traders,"This is the utility function of trader 2. Notably it places greater value on getting an additional car than the utility function of trader 1, which means trader 2 is more willing to buy cars than 1 and as a result we get the ""dead range"" of values of $p$ for which the demand in the market is determined completely by trader 2.",Some utility from unrelated goods,The value/quality of the $i$th car,All cars owned by trader 2,Session Two,No,Not familiar at all,No,Disagree,Slightly difficult,64,People in castes will remain in castes,"Akerlof shows that no firm should try paying an employee at a certain skill level any more than what everyone else at that skill level is paying. In other words, a firm that tries to break the caste system by being ""generous"" is going to lose money.","Skilled workers, unskilled, and scavengers. Their difference is in the quality of goods they can produce, and this matters because as a result they are valued differently by employers.","The purpose was to provide a mathematically rigorous argument for why a single actor cannot perturb the equilibrium established in the cast system, and the same math can be applied to such systems as the physics of objects in low energy states.",These are examples of castes that slowly were able to modify the caste system from within with trends that no one of them could have caused alone.,This was the class equilibrium formula that demonstrated the inertia of caste lines.,no idea,no idea,Algebra involving supply and demand of workers.,ALPHA1,Male,,2021,Computer Science,,300,20,
2020-03-05 14:08:20,2361,FOXTROT1,Session Two,Yes,Slightly familiar,No,Neither agree nor disagree,Slightly difficult,39,"There are differences in the demand for used cars based on factors like symmetric vs. asymmetric information, price, car quality, etc.","Divides section into two parts: symmetric and asymmetric information. Starts off with the demand function for traders(?) as a function of average car quality and price of the car. Uses these variables to calculate the quantity of cars demand and supplied, uses these variables to create utility functions, and then for each section (asymmetric and symmetric, creates a function of demand based on how the price of the car varies",N/A I actually don't know lmfao I just know that there is a difference in the utility that they get from trading the used cars I think lol the distinction like 3/2 for group 2 and just 1 as the coefficient for group one,"I think I am biased a bit because we briefly touched on this in a class, but I am assuming that he made a lot of advances in how information asymmetry/symmetry can affect a consumer's demand. ","no clue (lol as always) but would probably have to do with the information asymmetry that was mentioned in the article (i did not grasp this concept whoops) and with changes in price, would drastically decrease the amount of demand for insurance(?) just guessing here","Demand as a function of price is (Y2+Y1)/p when price is less than 1, all the way to D(p) = 0 when price is greater than 3/2. I know that 1 and 3/2 are related to the utility functions of Group 1 and Group 2, respectively, but I am not sure how they are related to the larger position of the excerpt. I think these were the equations in the asymmetric information section.",Price of the used car,"Income of group 1 and group 2, respectively (for 1 and 2)",Utility of group 2.,N/A,something to do with the car but I forgot haha,N/A,Session One,No,Not familiar at all,No,Disagree,Extremely difficult,20,"Honestly not too sure, something about breaking out of caste equilibrium, creating a coalition to break out of the existing caste structures and how big a coalition has to be in order to for it to be successful in achieving this?","In regards to India and has to do with the caste system there, analyzed production, labor, divided into three different types of workers, created a production function... and then I got lost. I think in the end the math helped show that it was indeed possible to reach an equilibrium coalition caste size where they can break out of equilibrium and end up better off, but I did not understand the math behind it. ","Skilled workers, unskilled, workers and scavengers? I have no clue how they relate to each other though LOL ",N/A,"I think ""elimination fo sanctions against collection of interest"" is the most important phrase in this introduction, because from what I grasped (which is not a lot lol help me I cannot read) what Akerlof was getting at was how India's caste system has the possibility to create groups that deviate from the caste system and see greater economic success.","Theta(u) - unskilled workers
Theta(sc) - scavenging workers
Theta(sk) - skilled workers",Some efficient point - possibility of forming a coalition or creating a coalition?,N/A,N/A,VICTOR2,Male,,2022,Applied Mathematics and Economics,,0,0,"I liked using Ender to take notes, even if they weren't really definitions! I think it helped me maybe less with understanding or digesting what the material meant but definitely was great efficiency wise because for the first article (castes) I had to constantly scroll up to check what the symbols meant haha"
2020-03-05 15:07:05,2327,LIMA1,Session Two,No,Moderately familiar,No,Agree,Slightly difficult,91,"That in markets with asymmetric information there is a disadvantage/efficient trades will not happen, and symmetric information solves that.","He first shows that in an asymmetric market, trade will not happen. The are conditions for trade to occur are not met because there is uncertainty about the quality of goods and traders will default to an expected quality value. Then he shows that in a symmetric market, trade will happen and he shows that there are gains to be made.","The two groups of traders differ by the amount of utility they gain from each additional unit (1 vs. 3/2). They matter because his paper focuses on the amount of income and utility each one has, and uses this to represent how much supply and demand there is, and under what conditions would occur.","His paper contributed an understanding of why markets sometimes don't work the way we would expect them to. Asymmetric information is a big source of inefficiency in markets, and in identifying it and proving its mechanisms, economists/businesses can address inefficiencies.","The insurance market suffers from asymmetric information because insurance providers have no way of verifying how healthy (and thus, how risky) people are. In particular, people over 65 probably have much higher health risk. In order to offset their higher expected costs of providing insurance, insurers charge a higher premium.","This set of equations describes the collective demand in the market of both groups of traders, under 3 different conditions. The first condition is where the price is less than the additional utility each good brings group 1, in which both groups maximize their demand. The second condition is where price is between the marginal utilities for each group, in which only group 2 (with the higher marginal utility) has demand. The third condition is where the price is higher than the marginal utility for the third group, in which there is no demand.",p refers to the price of one unit of the good in the market,Y refers to the incomes of each group,This describes the utility function of group 2. This is important in determining when a group will demand a good.,The utility from all other goods outside of the market.,The utility of one unit of the good.,Over all N goods,Session One,Yes,Not familiar at all,No,Somewhat agree,Moderately difficult,70,That the model for the caste system works and shows why the system sustains itself.,"He divides a population within a caste system into 2 main groups, N and D. There is also a third group of outcastes. He defines 3 types of labor: skilled, unskilled, and scavenging. He defines certain variables specific to each type of labor which indicate measures such as the wage associated with labor, the production output per unit of labor, the price of a good produced with each type of labor, etc. He shows that at equilibrium, group N receives the wage of skilled labor, group D receives the wage of unskilled labor, and outcastes receive at maximum the wage of scavenging labor. He proves that this is the equilibrium by showing that the wage of unskilled labor could not be higher.","The groups are N, D, and outcastes. The N group is of higher caste, D is of lower caste, and outcastes are those who don't follow the system. This matters because each of them are associated with different types of labor, production output, and wage. Akerlof proves that in equilibrium, group N will receive the higher wage for skilled labor and group D will receive the lower wage for unskilled labor.","The purpose is to show that an equilibrium does exist and to prove why that is the equilibrium state. Outside the caste system, this might be able to be applied to labor markets in general and how wages for people in the skilled vs. unskilled labor market are set.","These are all examples showing how groups of people who were once low in economic status became more economically successful, which led to their social standing improving. This is related because the excerpt is about how people of low social class stay in low social class due to constraining economic factors.",This equation that refers to the state at which equilibrium is reached (?),Don't remember,Don't remember,"He proved that if a firm were to bid a higher wage, nobody would purchase their product and they would not receive a profit.",ALPHA2,Female,,2020,Applied Math and Economics,Psychology,0,0,
2020-03-05 17:45:30,2764,GOLF2,Session One,Yes,Moderately familiar,No,Agree,Moderately difficult,50,"If there is asymmetric information in a market, then lemons will prevail because sellers will sell lower quality products, buyers will assume lower quality and have a lower willingness to pay, and prices will decrease so that there will only be lemons remaining.   ",MATH. He defines demand in the marketplace and assigns different values to the equations of price and quantity in order to demonstrate the effect of asymmetric versus symmetric information.,The two traders have different quantity of cars and have different coefficients on their utility of the number of automobiles. This then is used to demonstrate how much utility they gain from their trade.,This paper mathematically described a phenomenon in markets that arises often within our society and provides a foundation for understanding other economic occurrences. ,People believe that the quality of the service in question will be compromised for there is a lack of information provided by insurance providers. Providers in turn also lower their quality of service and thus prices continue to fall. ,"Demand increases as the price decreases; this set of equations illustrate that with asymmetric information, no trade will ever take place. ",price of the automobile,the incomes of the two types of traders ,One's utility is derived from one's consumption of other goods and that of the car.,M is the consumption of other goods,quality of the automobile ,Over the number of automobile one purchases??,Session Two,No,Not familiar at all,No,Somewhat disagree,Extremely difficult,9,There is a caste system where people only work within their caste. Not sure what the argument is LOL,LOL more math. Honestly I did not understand most of it. ,"Unskilled workers, skilled, and scavengers? They are part of different castes within society. Their production is significant in the argument of the paper, but not sure how",Uhhh idk ,"In societies in which there are rigid caste structures in which everyone believes, one can apply whatever Akerlof is talking about to identify where the economy can strengthen. If the caste structure changes, a society's economic structure will also change according to his mathy stuff. ",Idk sorry lol ,the number of different firms? or something having to do with firms,Idk,"Not sure, some manipulation of math.",ALPHA1,Female,,2021,Economics,,0,0,
2020-03-06 14:08:57,2950,HOTEL2,Session One,Yes,Slightly familiar,No,Strongly agree,Moderately difficult,60,An asymmetric distribution of information about goods in a market (e.g. quality of a car) can prevent trades from happening.,"Using an example of used cars with varying qualities, Akerlof presents a case where the quality of cars are symmetrically distributed and another case where quality of cars are asymmetrically distributed. The theoretical example assumed utility-maximizing agents and showed that asymmetric distribution would result in different trading behavior than symmetric distribution. Specifically, the math showed that more trade would occur when information is symmetric, and the market would have achieved higher utility as a whole.","In one group of traders, they value the utility of the ith car at a base rate x_i. In the other group of traders, they value the utility of the ith car at 3/2 x_i. This means that there is an asymmetric valuation of the cars among these two groups.","Previous economic models likely did not consider asymmetric information and assumed perfect symmetrical information in market systems. However, it couldn't explain why used car markets were so stagnant. Akerlof's model of asymmetric information about the quality of used cars explained this phenomenon, and illuminates an previously unintuitive result in economics.",n/a,"If the price of a car is less a ""unit"" of utility, then the total income from both groups will contribute to demand. If price of a car is between ""unit"" of utility and 3/2 ""unit"" of utility (which falls out of the utility function for Group 1 but not Group 2), then only the total income from Group2 will contribute to demand. If the price of a car is any higher, then no cars will be bought.",price of a car,Total income (subscripts denote Group 1 or Group 2),"The total utility of Group 2 is the 3/2 times the sum of all N cars ""consumed"" by Group 2 plus utility from non-car consumption.",Utility from non-car consumption,a car,all N cars used by Group 2,Session Two,No,Not familiar at all,No,Strongly agree,Moderately difficult,71,"In certain social-economic systems (like a caste system), agents in each caste will be unequal but still prefer to act within rules of the caste system in order to maximize utility individually, but can also form coalitions to maximize utility even more..","Akerlof presents an economic model of a 3-caste system and accompanying caste rules, then proves how individual actors in any caste would abide by rules of the caste system in order to maximize utility. But, Akerlof also shows the necessary sizes of coalitions in the model that would be needed to achieve even higher utility. The necessary sizes of coalitions depends on parameters within the 3-caste system.","There is the Dominant, Non-dominant, and the Outcaste. The Dominant group can provide SKilled labor. The Non-dominant group can provide Unskilled labor. The Outcaste group can provide SCavenging labor. The goods produced by each kind of labor has strictly decreasing utility, and individuals in each group are required by caste rules to only providing their designated category of labor and selling their designated category of goods, or else they will be forced into the Outcaste. This is important for framing the formal rules and mathematical relations within the economic model.","The purpose of the second section was to show how it would be non-profit maximizing for an individual in a caste system would prefer to uphold caste rules than to deviate from caste rules. These principles explain why inequality may be stable in a society with a strong socila heirarchy, by using a formal economic model.","This example from Japan is an example of how social ""taboos"" and culture in general may be impacted by economic developments and growth. The excerpt about the caste system is related because it discusses an economic model that incorporates social rules about market activity (e.g. only buy scavenging goods from Outcaste, only buy unskilled goods from Non-dominant, etc.)","k* is the size of the deviant coalition. theta_sk, theta_u, and theta_sc are the relative output of skilled labor, unskilled labor, and scavenging labor respectively. alpha is some constant...? i dunno

if the inequality holds, then the deviant coalition of size k* will achieve higher utility than staying within their caste roles",the size of a deviant coalition,"kinda confusing, but i think its like the relative gain per person of letting an Outcaste person provide skilled labor (which breaks the caste rules and has other consequences too)","Akerlof outlined the assumptions of his 3-caste economic model (e.g. caste rules about skilled, unskilled, and scavenging labor) and deduced some relationships and invariants (e.g. equalities and inequalities between parameters) when all agents are profit-maximizing. Then, Akerlof looked at the consequences of a deviant individual, and the consequences of a deviant coalition.",ALPHA1,Male,,2021,Applied Math,,45,2,
2020-03-06 14:14:28,2990,JULIETTE2,Session One,Yes,Slightly familiar,No,Strongly agree,Moderately difficult,75,Symmetric information improves overall utility,"Utility in the case of asymmetric information is lower than in the case of symmetric information. The market for used cars where the seller knows more information will result in less cars being sold, at a cost to both buyer and seller, than the market where buyer and seller are equally informed about the used cars. Buyers who are willing to pay a price of up to 3/2 the quality of the car will not trust the sellers in the first case and so no deals will be made, but will be willing to take the risk in the second case.",Type 1 traders are the sellers of used cars and type 2 traders are the buyers of used cars. The type 1 traders are willing to sell their cars if the price is greater than the quality and buyers are willing to buy the car for at a price of at most 3/2 of the quality.,"The paper showed how the free market is sometimes inefficient and can be improved if an outside party regulated it, in this case by providing information to buyer and seller.","People over 65 who are the buyers of medical insurance do not have the same information as the sellers, and so they don't trust the insurers to give them a fair price for insurance. Therefore they do not buy the insurance whose price has been increased to match the risk.","The demand for used cars is given by the three piecewise equations above. For example, demand for cars (as a function of price), will be (Y2 + Y1)/p when p < 1, Y2/p when 1 < p < 3/2, etc. These equations help determine the equilibrium quantity of used cars sold.",The price of the used cars,The income of type 1 and type 2 traders.,The equation above is the utility of type 2 traders.,It is the utility derived from goods other than used cars.,The x's refer to the used cars bought by type 2 traders. The subscript denotes the utility from the i-th car.,The number of cars bought by type 2 traders.,Session Two,No,Not familiar at all,No,Strongly agree,Moderately difficult,55,"In a caste system, no individual can deviate and improve his utility by becoming an outcast.","Akerlof make some assumptions about the marginal productivity of workers in the dominant, non-dominant, and outcast classes in society. Those who interact with caste deviants will themselves be made into an outcast. Since workers cannot improve their utility by being or interacting with outcasts, they will not have an incentive to break from the caste norms.","Akerlof distinguishes between skilled labor, which come from the dominant class in society, unskilled labor, which comes from the non-dominant class in society, and scavenger labor, which comes from the outcasts of society. Akerlof's argument is that those who are outcast have worse utility than either the skilled and unskilled laborers and so no one will work with them.","Caste-class equilibrium is where no member can improve their utility by themselves by breaking from caste norms. It relates to collective action problems in general, where the overall outcome can be improved but no single individual can be incentivized to change their behavior.",The examples are similar to the caste system explored in the excerpt because both merchants in Japan and usurers in the Middle Ages are examples of the outcaste class.,"Theta_u, Theta_sc, and Theta_sk are the outputs per unit of unskilled, scavenger, and skilled labor.",The goods produced,n/a,"Since theta_sc is the marginal productivity of scavenger labor, it is the value of what a member of the outcaste produces. Also theta_sc is lower than both theta_u and theta_sk so in order to produce something of greater value, the outcast must be employed in producing skilled or unskilled goods.",ALPHA1,Male,,2020,Mathematics,Government,30,20,
2020-03-06 19:36:43,2754,FOXTROT2,Session One,Yes,Moderately familiar,No,Somewhat agree,Moderately difficult,50,"When a market consists of asymmetric information, conventional market forces with the balancing of price and quality (and its relations with supply and demand) fail. Thus, the insecurity buyers have over the possibility of buying a ""lemon"" causes a chain effect -- bad cars drive out moderately bad cars, which drive out average cars, which drive out good cars. Sad :(.","Akerlof supported this argument by analyzing the asymmetric information and symmetric information scenarios with (1) quantitative analysis of market equilibria and (2) qualitative conjectures. In this excerpt, I felt like the proof presented in (1) was an interesting way to explain the situation -- it wasn't what I was used to (what I encountered in Ec1010a in 2018 Fall). I think it was weirdly rigorous in some parts and not in the others (for instance, the last paragraph in the chosen excerpt is weirdly rigorous).","Hmmm unlucky I'm not totally sure what this is referring to, but it can either refer to:
(1) Traders in an asymmetric information environment (either they don't disclose if their product is a lemon or not) vs. traders who are in a symmetric info environment.
or
(2) Traders who sell lemons vs. traders who sell good quality products.

I think it's the first case (1).","Although asymmetric information is an intuitive force to think about for market dynamics, I don't think the theory was fully fleshed out in terms of how to rigorously analyze its adverse effects. Furthermore, this subfield of studying imperfections in market dynamics in relation with data has definitely become much more important the past few decades with the influx of technology into the economy. Digitally-driven and digitally-hosted markets are quite different from the conventional markets in the past, i.e. Amazon reviews and vendors can purposefully be misleading, without ever having to meet a buyer in person.","There's asymmetric information in both directions. Elderly people might distrust the medical insurance coverage in the packages they are getting advertisements about -- they might think that they are getting scammed by having to pay much higher premiums, or the service is much lower in quality. At the same time, there is adverse selection on the insurance seller side in that they aren't sure if people are telling the truth -- healthier people are less likely to buy insurance.","There are three cases for the demand depending on the price. If price is greater than 3/2, no buyer is willing to buy it. If it's between 1 and 3/2, the demand is Y2/p, and if it's below 1, then the demand is (Y2+Y1)/p",Price,Uh oop I skipped over the equations. I remember quality is represented by miu -- but don't know what Y represents.,"Utility is determined by the aggregate of N products bought / sold and M.

Important to note that there is no diminishing returns as i increases from 1 to N.",Oop,x_i refers to the ith product sold.,Over the N products.,Session Two,No,Not familiar at all,No,Disagree,Moderately difficult,30,Akerlof presents a model for analyzing economies in the caste system and their equilibria.,"Akerlof provides mainly mathematical models that constrain / frame the caste system to certain forces. He presents a few theories and provides explanations for them (although, he stated ""this is obvious"" at least twice).","Workers:
(1) Scavengers (sc)
(2) Unskilled (us)
(3) Skilled (s)

These make up a caste system and output product at different rates.","The equilibrium in the caste-class system is interesting because it shows the inertia / friction in its resistance to change. Thus, if people wanted to disrupt the Caste system, or any other rigid system, it takes a certain degree of mass to establish an advantage for a certain subset of the population. ","Wat. Too big brained.

These above examples are scenarios where social stigma or some other kind of accepted convention (be it explicit or implicit bias) is built into an economy. As such, there is a pseudo-caste system that affects the market in non-obvious ways that could be modeled by Akerlof's propositions. Furthermore, to change the stigma would require non-trivial amounts of work, as presented by Akerlof.",Shoot I actually forgot everything.,:( don't remember. Equilibrium of something?,Case work. Output based on the three tiers of workers.,He showed certain constraints in that for the firm to pay a certain wage it would have to satisfy those other constraints first.,ALPHA1,Male,,2022,Computer Science,Economics,240,30,I like taking notes on a Google Doc as I read papers. I started using Ender as a way to take notes -- like comments on Google Docs.
2020-03-08 13:05:58,2617,MIKE1,Session Two,No,Moderately familiar,No,Agree,Slightly difficult,79,That asymmetry of information in the marketplace (the existence of lemons) can lead to a situation where no trade occurs at all,Modeling lemons as an asymmetric information problem; there is a gain of utility in the case of symmetric information (where no lemon exists) than where lemons exist.,"Group 1: the dealers that are trying to sell cars, some of them being lemons
Group 2: the customers trying to buy cars
They differ in the sense that one of them knows the inherent value/quality of the car and the other one doesn't and the resulting levels of trade is 0.","Showed an inherently surprising result; how poor quality goods produced by firms can inject asymmetric information into the marketplace and shut down an entire market, meaning that poor quality goods do more than act as a self-contained bad investment by the firm.","Price doesn't rise because insuring inherently risky assets can be seen as a sort of lemon. The quality of the good being traded is ""poor"" so the price doesn't rise to the level of risk that the firm demands.","This is the situation where both groups of traders have the same utility function (symmetric information). There is a gain of utility over the asymmetric case, showing that the asymmetric information case with lemons is inefficient and no trade occurs, even though there is non-zero demand.",price of the lemon,income of each group,"Utility function of the second group of traders (buyers) that start with 0 cars. It shows that for them, the utility function is steeper than for the sellers, meaning that they seemingly derive more utility from a given quality (x_i) of each car than the sellers.",Utility from other goods unrelated to the good in question (lemons),quality of a good i,Summation over all cars,Session One,Yes,Slightly familiar,No,Strongly agree,Moderately difficult,70,Caste equilibrium can be broken,"Two-caste toy model (skilled caste, unskilled caste, and an outcasted group, if any)","Skilled caste, unskilled caste, outcasted group. They are formed by birth and consist of firms, laborers, and consumers. Any consumer purchasing goods from firms that use labor not of their own caste will join the outcasted group.","Purpose is to demonstrate the mathematics behind caste economics and to show that a coalition of firms using outcaste labor can reach an equilibrium. It seems to me that a fundamental assumption that he used was ""coalition"", which implies that the principles he used can be generalized to any economic system with a ""prestige"" system underlying their purchasing behavior. One thing I'm thinking about is colleges: the ""caste"" of a college is judged by the educational pedigree of the faculty.","The caste system might be interpreted to be a taboo against free trade and manufacture, as price penalties are placed upon breakers of the caste code. Akerlof is arguing that the caste system is inherently economically inefficient.","a is a parameter of the utility function, theta_x are the outputs from one unit of labor if produced by a member of the x caste. This is an expression of how firms can break the equilibrium reached in the caste system.",A coalition of k* firms producing k* goods,Unclear,Relied on underlying assumptions of how firms producing certain goods must rely on using same-caste labor if profits are to be non-negative. ,ALPHA2,Male,,2021,Statistics,Computer Science,60,20,reading with lemons was easier in content; reading with caste was much more abstract and more difficult to grasp
2020-03-08 13:10:06,3554,ALPHA1,Session Two,Yes,Moderately familiar,No,Strongly agree,Slightly difficult,70,"With asymmetric information on the quality of goods, the equilibrium is for buyers to pay no more than the price for minimal quality, and sellers sell nothing but minimal quality goods.","He set up utility functions, a distribution of the quality of goods, and a specification of information symmetry or asymmetry between the two parties. He then calculated the result described above.","One group has a distribution of quality of goods unknown to the buyer, and the other has only goods of the lowest quality. The point is that it does not matter, as both will receive the same price for their goods.",It demonstrated how information asymmetry can destroy the efficiency of markets. ,"Because it is difficult to know the health of the individual in advance, and so there is no incentive to cover someone who is probably high risk. ","At low price, the customer will demand from both sellers a quantity inversely proportional to the price. At higher prices, the customer will only demand from the second seller, and at high prices they will not demand at all. The point is that there is no incentive to pay higher prices without an assurance of quality. ",The price of the good ,The quantity demanded from each seller ,"The utility to the consumer from a quantity of each good. It is noted that this is linear, so there is no change in marginal utility. This equation is necessary for computing the rest of the results.",Minimum utility ,The quantity of each good ,Over all the goods ,Session One,No,Not familiar at all,No,Strongly agree,Neither easy nor difficult,80,Social structures with a rigid caste system have stable equilibrium as long as not too many people join together in a coalition  ,"He modeled the dynamics of the market with three castes, three types of labor, utility function for consumers, production functions showing how much of each kind of labor a firm required to produce a product, and rules describing what kind of behaviors would result in a person or firm transferring between castes. In particular, interaction with a party that does not follow caste rules results in becoming an outcast.

Then, he showed that a firm would have zero customers if it chose to violate the caste rules, because the gain in utility for customers from the lower prices would be offset by the loss in utility for customers by becoming an outcast. 

This was under the assumption that at most a given number of parties entered into a coalition; if more parties coalesced, the equilibrium could be broken. ","Favored caste, un-favored caste, and outcasts. The favored and un-favored castes are assigned a priori, and become outcasts by failing to follow the rules. Each caste is only allowed to perform certain types of labor under these rules. The point of the paper is that none have an incentive to stray from these rules and becoming an outcast.  ","The purpose is to show that even if the overall setup is sub-optimal for many of the parties involved, no individual has an incentive to independently stray from the rules.

This principle applies to many public good or collective action problems, such as environmental stewardship or civil disobedience, where only by acting in tandem with others can individuals hope to gain from breaking equilibrium.  ","These are examples where violating social norms turned out to be profitable in the long run. In the restricted model of the excerpt, this did not occur. Thus, the introduction shows how the model may be limited in real applications. ",This was a bound on the minimum number of cooperating firms necessary to break the equilibrium. Note that the right hand side varies directly with the productivity of unskilled and scavenger labor and inversely with the productivity of skilled labor. This supports our intuition that certain kinds of labor being more productive than others reinforces rigid social norms.,The number of cooperating parties ,This is a lower bound on the number of cooperating parties before it becomes profitable to flout social norms. He computed this by comparing the productivity of a firm under different sorts of labor and the resulting changes in demand.,"If a firm pays a higher wage than θsc for outcaste labor and only employs them in scavenging jobs, then the firm will have no customers, since other firms can achieve the same productivity at a lower cost by paying at most θsc for outcaste labor.

Thus, for a firm to pay a higher wage than θsc, it must employ outcaste labor in skilled or unskilled jobs. He then showed that if a firm does so, it would have no customers, since the cost of being outcast themselves would be higher than the benefit of any possible reduction in price.",ECHO2,Male,,2021,Mathematics ,Computer Science ,600,15,
2020-03-08 13:42:09,2262,GOLF2,Session One,Yes,Slightly familiar,No,Somewhat disagree,Moderately difficult,35,There are different results of the market stemming from asymmetric vs. symmetric information.,"Not really sure, didn't really understand the math completely.",They had different utility functions. ,"not really sure
",not sure,?,price,utility of traders,the utility function of type 2 traders,?,something about cars,don't remember,Session Two,No,Not familiar at all,No,Somewhat agree,Moderately difficult,51,"I didn't really notice an ""argument""; the excerpt seemed to just propose a model for caste systems.","Akerlof supports the argument by providing background into what characterizes a caste, and then establishes the formal model for which the caste system is based on. Finally, he makes some claims about the the implications of this model.","The three groups of people are skilled, unskilled and scavengers. They differ in the restrictions of what jobs they can take and what how much they can be paid, which is important in defining the caste structure. ","This section serves to show how a caste system can preserve equilibrium. This could be applied in other settings where there are people of different skill levels and an equilibrium wants to be achieved (people don't envy other positions, and are incentivized to perform well). This could work in a job/corporation setting.",These examples show a real-world example that is similar to the Caste system and can show how having such a system (or something that can be modeled in this way) could lead to elimination of certain taboos and create a more functioning economy. ,i have no idea,N/A,N/A,"don't remember
",ALPHA1,Male,,2020,Computer Science,Statistics,60,30 (but a lot of skimming),"The excerpts were really hard to understand without any context (like I usually prefer to read an abstract or introduction). Also, in the first session, I wasn't really sure what to be reading for, despite having access to Ender. In the second session, I assumed it would ask similar questions, so I was looking out for those a little bit more carefully."
